 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 10   # Spanwise =100     First strip =  1
     Surface area =    0.148949       Ave. chord =    0.136563
     CLsurf  =   0.20000     Clsurf  =   0.00000
     CYsurf  =  -0.00000     Cmsurf  =   0.11775
     CDsurf  =   0.00159     Cnsurf  =   0.00000
     CDisurf =   0.00159     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.20007     CDsurf  =   0.00159
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1  -0.5453   0.0131   0.0000   0.0005   0.0089   0.3765   0.0355  -0.0093   0.0000   0.0063  -0.0006    0.074
     2  -0.5447   0.0162   0.0000   0.0014   0.0089   0.9412   0.0857  -0.0115   0.0000   0.0106  -0.0023    0.127
     3  -0.5436   0.0216   0.0000   0.0023   0.0092   0.6696   0.1077  -0.0081   0.0000   0.0091  -0.0051    0.165
     4  -0.5420   0.0276   0.0001   0.0033   0.0094   0.5056   0.1179  -0.0058   0.0000   0.0071  -0.0079    0.190
     5  -0.5398   0.0341   0.0001   0.0042   0.0095   0.3809   0.1230  -0.0041   0.0000   0.0055  -0.0108    0.205
     6  -0.5371   0.0406   0.0001   0.0051   0.0096   0.3079   0.1262  -0.0030   0.0000   0.0045  -0.0135    0.215
     7  -0.5338   0.0472   0.0002   0.0061   0.0096   0.2605   0.1284  -0.0022   0.0000   0.0037  -0.0160    0.221
     8  -0.5300   0.0537   0.0002   0.0070   0.0097   0.2295   0.1302  -0.0016   0.0000   0.0031  -0.0182    0.226
     9  -0.5256   0.0602   0.0003   0.0079   0.0098   0.2079   0.1317  -0.0012   0.0000   0.0027  -0.0203    0.230
    10  -0.5208   0.0665   0.0003   0.0089   0.0098   0.1930   0.1333  -0.0008   0.0000   0.0023  -0.0222    0.233
    11  -0.5154   0.0727   0.0004   0.0098   0.0099   0.1823   0.1348  -0.0005   0.0000   0.0020  -0.0240    0.235
    12  -0.5094   0.0787   0.0005   0.0107   0.0100   0.1743   0.1363  -0.0003   0.0000   0.0018  -0.0256    0.237
    13  -0.5030   0.0845   0.0006   0.0116   0.0101   0.1689   0.1379  -0.0001   0.0000   0.0016  -0.0270    0.238
    14  -0.4961   0.0902   0.0006   0.0126   0.0103   0.1649   0.1396   0.0001   0.0000   0.0015  -0.0284    0.240
    15  -0.4886   0.0956   0.0007   0.0135   0.0104   0.1619   0.1413   0.0002   0.0000   0.0013  -0.0297    0.241
    16  -0.4807   0.1009   0.0008   0.0144   0.0106   0.1604   0.1432   0.0003   0.0000   0.0012  -0.0309    0.241
    17  -0.4723   0.1059   0.0009   0.0154   0.0107   0.1593   0.1451   0.0004   0.0000   0.0011  -0.0320    0.242
    18  -0.4634   0.1107   0.0010   0.0163   0.0109   0.1590   0.1472   0.0005   0.0000   0.0010  -0.0331    0.243
    19  -0.4540   0.1153   0.0011   0.0172   0.0111   0.1591   0.1494   0.0006   0.0000   0.0010  -0.0341    0.244
    20  -0.4442   0.1196   0.0012   0.0181   0.0113   0.1597   0.1517   0.0007   0.0000   0.0009  -0.0351    0.244
    21  -0.4340   0.1236   0.0013   0.0190   0.0115   0.1607   0.1541   0.0008   0.0000   0.0008  -0.0361    0.244
    22  -0.4233   0.1274   0.0014   0.0199   0.0118   0.1620   0.1567   0.0009   0.0000   0.0008  -0.0370    0.245
    23  -0.4121   0.1310   0.0015   0.0208   0.0120   0.1638   0.1593   0.0009   0.0000   0.0008  -0.0379    0.245
    24  -0.4006   0.1343   0.0016   0.0217   0.0122   0.1657   0.1621   0.0010   0.0000   0.0007  -0.0388    0.245
    25  -0.3887   0.1374   0.0017   0.0226   0.0125   0.1679   0.1649   0.0011   0.0000   0.0007  -0.0398    0.246
    26  -0.3763   0.1402   0.0018   0.0235   0.0127   0.1703   0.1679   0.0012   0.0000   0.0007  -0.0407    0.246
    27  -0.3636   0.1427   0.0018   0.0244   0.0130   0.1729   0.1711   0.0012   0.0000   0.0007  -0.0416    0.246
    28  -0.3505   0.1450   0.0019   0.0252   0.0133   0.1757   0.1743   0.0013   0.0000   0.0006  -0.0425    0.246
    29  -0.3371   0.1471   0.0020   0.0261   0.0136   0.1787   0.1776   0.0013   0.0000   0.0006  -0.0434    0.246
    30  -0.3233   0.1489   0.0021   0.0269   0.0138   0.1819   0.1810   0.0014   0.0000   0.0006  -0.0444    0.247
    31  -0.3092   0.1505   0.0021   0.0277   0.0141   0.1852   0.1846   0.0015   0.0000   0.0006  -0.0453    0.247
    32  -0.2948   0.1518   0.0022   0.0285   0.0144   0.1887   0.1882   0.0015   0.0000   0.0006  -0.0463    0.247
    33  -0.2801   0.1529   0.0023   0.0293   0.0148   0.1923   0.1920   0.0016   0.0000   0.0006  -0.0472    0.247
    34  -0.2651   0.1538   0.0023   0.0301   0.0151   0.1960   0.1958   0.0017   0.0000   0.0006  -0.0482    0.247
    35  -0.2499   0.1545   0.0024   0.0308   0.0154   0.1998   0.1997   0.0017   0.0000   0.0007  -0.0492    0.247
