 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  6   # Spanwise = 50     First strip =  1
     Surface area =    0.099000       Ave. chord =    0.100000
     CLsurf  =   0.20000     Clsurf  =  -0.00000
     CYsurf  =   0.00000     Cmsurf  =   0.11115
     CDsurf  =   0.00135     Cnsurf  =   0.00000
     CDisurf =   0.00135     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.20202     CDsurf  =   0.00137
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1  -0.4947   0.1000   0.0001   0.0012   0.0323   0.0118   0.0118   0.0003   0.0000   0.0008  -0.0021    0.179
     2  -0.4927   0.1000   0.0003   0.0035   0.0320   0.0353   0.0353   0.0007   0.0000   0.0024  -0.0064    0.182
     3  -0.4887   0.1000   0.0005   0.0058   0.0312   0.0581   0.0581   0.0011   0.0000   0.0036  -0.0109    0.189
     4  -0.4826   0.1000   0.0007   0.0080   0.0302   0.0798   0.0798   0.0014   0.0000   0.0043  -0.0157    0.197
     5  -0.4745   0.1000   0.0009   0.0100   0.0290   0.1002   0.1002   0.0016   0.0000   0.0045  -0.0205    0.205
     6  -0.4645   0.1000   0.0011   0.0119   0.0275   0.1190   0.1190   0.0017   0.0000   0.0044  -0.0253    0.213
     7  -0.4526   0.1000   0.0013   0.0136   0.0259   0.1361   0.1361   0.0018   0.0000   0.0040  -0.0300    0.220
     8  -0.4389   0.1000   0.0015   0.0151   0.0241   0.1512   0.1512   0.0018   0.0000   0.0035  -0.0342    0.227
     9  -0.4233   0.1000   0.0016   0.0164   0.0223   0.1646   0.1646   0.0018   0.0000   0.0030  -0.0381    0.232
    10  -0.4060   0.1000   0.0018   0.0176   0.0206   0.1761   0.1761   0.0018   0.0000   0.0025  -0.0415    0.236
    11  -0.3870   0.1000   0.0020   0.0186   0.0189   0.1860   0.1860   0.0017   0.0000   0.0021  -0.0444    0.239
    12  -0.3664   0.1000   0.0021   0.0194   0.0174   0.1944   0.1944   0.0017   0.0000   0.0017  -0.0469    0.241
    13  -0.3444   0.1000   0.0023   0.0201   0.0160   0.2015   0.2015   0.0016   0.0000   0.0014  -0.0490    0.243
    14  -0.3209   0.1000   0.0024   0.0207   0.0148   0.2075   0.2075   0.0015   0.0000   0.0011  -0.0507    0.245
    15  -0.2961   0.1000   0.0025   0.0212   0.0137   0.2125   0.2125   0.0014   0.0000   0.0009  -0.0522    0.246
    16  -0.2700   0.1000   0.0027   0.0217   0.0128   0.2167   0.2167   0.0014   0.0000   0.0008  -0.0534    0.247
    17  -0.2429   0.1000   0.0028   0.0220   0.0120   0.2202   0.2202   0.0013   0.0000   0.0006  -0.0544    0.247
    18  -0.2148   0.1000   0.0029   0.0223   0.0113   0.2230   0.2230   0.0013   0.0000   0.0005  -0.0552    0.248
    19  -0.1858   0.1000   0.0029   0.0225   0.0108   0.2254   0.2254   0.0012   0.0000   0.0005  -0.0558    0.248
    20  -0.1560   0.1000   0.0030   0.0227   0.0103   0.2272   0.2272   0.0012   0.0000   0.0004  -0.0563    0.248
    21  -0.1256   0.1000   0.0031   0.0228   0.0100   0.2287   0.2287   0.0011   0.0000   0.0004  -0.0568    0.248
    22  -0.0946   0.1000   0.0031   0.0230   0.0097   0.2298   0.2298   0.0011   0.0000   0.0003  -0.0571    0.249
    23  -0.0633   0.1000   0.0031   0.0230   0.0095   0.2305   0.2305   0.0011   0.0000   0.0003  -0.0573    0.249
    24  -0.0317   0.1000   0.0032   0.0231   0.0094   0.2309   0.2309   0.0011   0.0000   0.0003  -0.0574    0.249
    25  -0.0079   0.1000   0.0016   0.0231   0.0094   0.2311   0.2311   0.0011   0.0000   0.0003  -0.0574    0.249
    26   0.0079   0.1000   0.0016   0.0231   0.0094   0.2311   0.2311   0.0011   0.0000   0.0003  -0.0574    0.249
    27   0.0317   0.1000   0.0032   0.0231   0.0094   0.2309   0.2309   0.0011   0.0000   0.0003  -0.0574    0.249
    28   0.0633   0.1000   0.0031   0.0230   0.0095   0.2305   0.2305   0.0011   0.0000   0.0003  -0.0573    0.249
    29   0.0946   0.1000   0.0031   0.0230   0.0097   0.2298   0.2298   0.0011   0.0000   0.0003  -0.0571    0.249
    30   0.1256   0.1000   0.0031   0.0228   0.0100   0.2287   0.2287   0.0011   0.0000   0.0004  -0.0567    0.248
    31   0.1560   0.1000   0.0030   0.0227   0.0103   0.2272   0.2272   0.0012   0.0000   0.0004  -0.0563    0.248
    32   0.1858   0.1000   0.0029   0.0225   0.0108   0.2254   0.2254   0.0012   0.0000   0.0005  -0.0558    0.248
    33   0.2148   0.1000   0.0029   0.0223   0.0113   0.2230   0.2230   0.0013   0.0000   0.0005  -0.0552    0.248
    34   0.2429   0.1000   0.0028   0.0220   0.0120   0.2202   0.2202   0.0013   0.0000   0.0006  -0.0544    0.247
    35   0.2700   0.1000   0.0027   0.0217   0.0128   0.2167   0.2167   0.0014   0.0000   0.0008  -0.0534    0.247
    36   0.2961   0.1000   0.0025   0.0212   0.0137   0.2125   0.2125   0.0014   0.0000   0.0009  -0.0522    0.246
    37   0.3209   0.1000   0.0024   0.0207   0.0148   0.2075   0.2075   0.0015   0.0000   0.0011  -0.0507    0.245
    38   0.3444   0.1000   0.0023   0.0201   0.0160   0.2015   0.2015   0.0016   0.0000   0.0014  -0.0490    0.243
