 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  6   # Spanwise = 50     First strip =  1
     Surface area =    0.099000       Ave. chord =    0.100000
     CLsurf  =   0.40000     Clsurf  =  -0.00000
     CYsurf  =  -0.00000     Cmsurf  =   0.22252
     CDsurf  =   0.00541     Cnsurf  =   0.00000
     CDisurf =   0.00541     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.40404     CDsurf  =   0.00547
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1  -0.4947   0.1000   0.0001   0.0024   0.0647   0.0237   0.0237   0.0011   0.0000   0.0017  -0.0042    0.179
     2  -0.4927   0.1000   0.0003   0.0070   0.0640   0.0705   0.0705   0.0030   0.0000   0.0048  -0.0128    0.182
     3  -0.4887   0.1000   0.0005   0.0116   0.0625   0.1160   0.1160   0.0045   0.0000   0.0071  -0.0219    0.189
     4  -0.4826   0.1000   0.0007   0.0160   0.0605   0.1596   0.1596   0.0055   0.0000   0.0085  -0.0314    0.197
     5  -0.4745   0.1000   0.0009   0.0200   0.0579   0.2004   0.2004   0.0063   0.0000   0.0090  -0.0411    0.205
     6  -0.4645   0.1000   0.0011   0.0238   0.0550   0.2380   0.2380   0.0068   0.0000   0.0088  -0.0507    0.213
     7  -0.4526   0.1000   0.0013   0.0272   0.0517   0.2721   0.2721   0.0071   0.0000   0.0081  -0.0600    0.220
     8  -0.4389   0.1000   0.0015   0.0302   0.0482   0.3024   0.3024   0.0073   0.0000   0.0071  -0.0685    0.227
     9  -0.4233   0.1000   0.0016   0.0329   0.0447   0.3290   0.3290   0.0073   0.0000   0.0060  -0.0763    0.232
    10  -0.4060   0.1000   0.0018   0.0352   0.0412   0.3521   0.3521   0.0071   0.0000   0.0050  -0.0830    0.236
    11  -0.3870   0.1000   0.0020   0.0372   0.0378   0.3719   0.3719   0.0069   0.0000   0.0041  -0.0889    0.239
    12  -0.3664   0.1000   0.0021   0.0389   0.0348   0.3888   0.3888   0.0067   0.0000   0.0033  -0.0939    0.241
    13  -0.3444   0.1000   0.0023   0.0403   0.0320   0.4030   0.4030   0.0064   0.0000   0.0027  -0.0980    0.243
    14  -0.3209   0.1000   0.0024   0.0415   0.0296   0.4150   0.4150   0.0061   0.0000   0.0022  -0.1015    0.245
    15  -0.2961   0.1000   0.0025   0.0425   0.0274   0.4250   0.4250   0.0058   0.0000   0.0018  -0.1044    0.246
    16  -0.2700   0.1000   0.0027   0.0433   0.0256   0.4334   0.4334   0.0055   0.0000   0.0015  -0.1068    0.247
    17  -0.2429   0.1000   0.0028   0.0440   0.0240   0.4404   0.4404   0.0052   0.0000   0.0013  -0.1088    0.247
    18  -0.2148   0.1000   0.0029   0.0446   0.0227   0.4461   0.4461   0.0050   0.0000   0.0011  -0.1104    0.248
    19  -0.1858   0.1000   0.0029   0.0451   0.0216   0.4507   0.4507   0.0048   0.0000   0.0009  -0.1118    0.248
    20  -0.1560   0.1000   0.0030   0.0454   0.0207   0.4545   0.4545   0.0047   0.0000   0.0008  -0.1128    0.248
    21  -0.1256   0.1000   0.0031   0.0457   0.0199   0.4574   0.4574   0.0045   0.0000   0.0007  -0.1136    0.248
    22  -0.0946   0.1000   0.0031   0.0460   0.0194   0.4595   0.4595   0.0044   0.0000   0.0007  -0.1142    0.249
    23  -0.0633   0.1000   0.0031   0.0461   0.0190   0.4611   0.4611   0.0044   0.0000   0.0006  -0.1146    0.249
    24  -0.0317   0.1000   0.0032   0.0462   0.0188   0.4619   0.4619   0.0043   0.0000   0.0006  -0.1149    0.249
    25  -0.0079   0.1000   0.0016   0.0462   0.0187   0.4622   0.4622   0.0043   0.0000   0.0006  -0.1149    0.249
    26   0.0079   0.1000   0.0016   0.0462   0.0187   0.4622   0.4622   0.0043   0.0000   0.0006  -0.1149    0.249
    27   0.0317   0.1000   0.0032   0.0462   0.0188   0.4619   0.4619   0.0043   0.0000   0.0006  -0.1149    0.249
    28   0.0633   0.1000   0.0031   0.0461   0.0190   0.4611   0.4611   0.0044   0.0000   0.0006  -0.1146    0.249
    29   0.0946   0.1000   0.0031   0.0460   0.0194   0.4595   0.4595   0.0044   0.0000   0.0007  -0.1142    0.249
    30   0.1256   0.1000   0.0031   0.0457   0.0199   0.4574   0.4574   0.0045   0.0000   0.0007  -0.1136    0.248
    31   0.1560   0.1000   0.0030   0.0454   0.0207   0.4545   0.4545   0.0047   0.0000   0.0008  -0.1128    0.248
    32   0.1858   0.1000   0.0029   0.0451   0.0216   0.4507   0.4507   0.0048   0.0000   0.0009  -0.1118    0.248
    33   0.2148   0.1000   0.0029   0.0446   0.0227   0.4461   0.4461   0.0050   0.0000   0.0011  -0.1104    0.248
    34   0.2429   0.1000   0.0028   0.0440   0.0240   0.4404   0.4404   0.0052   0.0000   0.0013  -0.1088    0.247
    35   0.2700   0.1000   0.0027   0.0433   0.0256   0.4334   0.4334   0.0055   0.0000   0.0015  -0.1068    0.247
