 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  6   # Spanwise = 50     First strip =  1
     Surface area =    0.099000       Ave. chord =    0.100000
     CLsurf  =   1.10000     Clsurf  =  -0.00000
     CYsurf  =   0.00000     Cmsurf  =   0.60814
     CDsurf  =   0.04092     Cnsurf  =  -0.00000
     CDisurf =   0.04092     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   1.11111     CDsurf  =   0.04134
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1  -0.4947   0.1000   0.0001   0.0065   0.1789   0.0642   0.0642   0.0080   0.0000   0.0046  -0.0116    0.178
     2  -0.4927   0.1000   0.0003   0.0193   0.1769   0.1914   0.1914   0.0227   0.0000   0.0130  -0.0351    0.182
     3  -0.4887   0.1000   0.0005   0.0317   0.1729   0.3158   0.3158   0.0339   0.0000   0.0195  -0.0598    0.188
     4  -0.4826   0.1000   0.0007   0.0436   0.1672   0.4349   0.4349   0.0418   0.0000   0.0233  -0.0858    0.196
     5  -0.4745   0.1000   0.0009   0.0548   0.1603   0.5469   0.5469   0.0475   0.0000   0.0246  -0.1123    0.205
     6  -0.4645   0.1000   0.0011   0.0651   0.1521   0.6503   0.6503   0.0516   0.0000   0.0240  -0.1386    0.213
     7  -0.4526   0.1000   0.0013   0.0744   0.1431   0.7442   0.7442   0.0540   0.0000   0.0220  -0.1639    0.220
     8  -0.4389   0.1000   0.0015   0.0827   0.1334   0.8279   0.8279   0.0551   0.0000   0.0193  -0.1873    0.227
     9  -0.4233   0.1000   0.0016   0.0899   0.1235   0.9016   0.9016   0.0550   0.0000   0.0164  -0.2084    0.232
    10  -0.4060   0.1000   0.0018   0.0962   0.1139   0.9656   0.9656   0.0540   0.0000   0.0137  -0.2269    0.236
