 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 10   # Spanwise =100     First strip =  1
     Surface area =    0.148910       Ave. chord =    0.136733
     CLsurf  =   1.10000     Clsurf  =   0.00000
     CYsurf  =  -0.00000     Cmsurf  =   0.63902
     CDsurf  =   0.04761     Cnsurf  =   0.00000
     CDisurf =   0.04761     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   1.10066     CDsurf  =   0.04764
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1  -0.5445   0.0202   0.0000   0.0033   0.1177   0.8960   0.2045  -0.2481   0.0000   0.0275  -0.0045    0.115
     2  -0.5439   0.0222   0.0000   0.0099   0.1160   2.2946   0.5029  -0.3355   0.0000   0.0633  -0.0156    0.124
     3  -0.5428   0.0262   0.0000   0.0164   0.1149   3.0958   0.6817  -0.2960   0.0000   0.0671  -0.0294    0.152
     4  -0.5412   0.0314   0.0001   0.0229   0.1145   2.4912   0.7733  -0.2141   0.0000   0.0586  -0.0504    0.174
     5  -0.5390   0.0371   0.0001   0.0294   0.1134   2.2026   0.8277  -0.1577   0.0000   0.0484  -0.0690    0.192
     6  -0.5363   0.0431   0.0001   0.0358   0.1124   1.8943   0.8583  -0.1113   0.0000   0.0393  -0.0878    0.204
     7  -0.5330   0.0493   0.0002   0.0422   0.1112   1.6677   0.8773  -0.0764   0.0000   0.0322  -0.1050    0.213
     8  -0.5292   0.0556   0.0002   0.0485   0.1101   1.4859   0.8905  -0.0497   0.0000   0.0270  -0.1216    0.220
     9  -0.5248   0.0617   0.0003   0.0546   0.1089   1.3742   0.9005  -0.0299   0.0000   0.0229  -0.1353    0.225
    10  -0.5200   0.0679   0.0003   0.0607   0.1079   1.2793   0.9082  -0.0138   0.0000   0.0198  -0.1484    0.228
    11  -0.5146   0.0739   0.0004   0.0668   0.1068   1.2123   0.9149  -0.0013   0.0000   0.0173  -0.1597    0.231
    12  -0.5087   0.0797   0.0005   0.0727   0.1059   1.1602   0.9210   0.0089   0.0000   0.0154  -0.1699    0.233
    13  -0.5022   0.0854   0.0006   0.0785   0.1051   1.1213   0.9268   0.0166   0.0000   0.0138  -0.1789    0.235
